Fluffy Pancakes,1
Spinach and Feta Quiche,"1, 2"
Beef Wellington,3
Chocolate Chip Cookies,4
Chicken Pad Thai,"3, 5"
Croissant,"6, 5"
Tiramisu,4
Sushi Rolls,"3, 2"
Spanakopita,"3, 2"
Baklava,4
Omelette,"6, 5"
Margherita Pizza,3
Chicken Caesar Salad,"7, 2"
Apple Pie,4
Beef Stir-Fry,"3, 5"
Chocolate Cake,4
Falafel,"3, 5"
Lemon Bars,4
Shrimp Scampi,3
Beef Tacos,"3, 5"
Croque Monsieur,7
Chicken Enchiladas,3
Blueberry Muffins,"6, 5"
Pad See Ew,"3, 5"
Shepherd's Pie,3
Tuna Salad Sandwich,"7, 5"
Miso Soup,"3, 2"
Key Lime Pie,4
Chicken Tikka Masala,3
Beef Bourguignon,3
Cheese Soufflé,3
Scones,"6, 5"
Caprese Salad,"7, 2"
Beef Bulgogi,3
Chicken Noodle Soup,"7, 2"
Chocolate Truffles,4
Huevos Rancheros,"6, 1"
Ratatouille,"3, 2"
Tiramisu,4
Falafel Wrap,"3, 5"
Beef Wellington,3
Lemon Chicken Piccata,3
Vegetable Stir-Fry,"3, 5"
Chicken Alfredo,3
Croissant Bread Pudding,4
Spaghetti Carbonara,3
Chicken Shawarma,"3, 5"
Red Velvet Cake,4
Margherita Flatbread,3
Gyro Wrap,"3, 5"
Pesto Pasta,3
Chicken Caesar Wrap,"7, 5"
Mushroom Risotto,3
Avocado Toast,"6, 5"
Chicken Quesadilla,"3, 5"
French Onion Soup,"3, 2"
Lemon Ricotta Pancakes,"6, 1"